tag,word_type,arabic,english,arabic_latin,
color, (v),شاب,become gray,shaab,
color, (v),خضرّ,become green,khDarr,
color, (v),بيضّ,become white,byaDD,
color, (v),غبّش,blur,ghabaash,
color, (adj),غامق,dark [in color],ghaame2,
color, (v),غمّق,darken,ghama2,
color, (v),باخ,fade,baakh,
color, (adj),مبيض,white,mobyaD,
color, (v),بيّض,whiten,bayaaD,
new testament, (n),كورنثوس الأولى,1 Corinthians,kwrnsws aal2wlaa,
new testament, (n),يوحنّا الأولى,1 John,yw7nnaa aal2wlaa,
new testament, (n),بطرس الأولى,1 Peter,bTrs aal2wlaa,
new testament, (n),تسالونيكي الأولى,1 Thessalonians,tsaalwnyky aal2wlaa,
new testament, (n),تيموثاوس الأولى,1 Timothy,tymwsaaws aal2wlaa,
new testament, (n),كورنثوس الثانية,2 Corinthians,kwrnsws aalsaanyeh,
new testament, (n),يوحنّا الثانية,2 John,yw7nnaa aalsaanyeh,
new testament, (n),بطرس الثانية,2 Peter,bTrs aalsaanyeh,
new testament, (n),تسالونيكي الثانية,2 Thessalonians,tsaalwnyky aalsaanyeh,
new testament, (n),تيموثاوس الثانية,2 Timothy,tymwsaaws aalsaanyeh,
new testament, (n),يوحنّا الثالثة,3 John,yw7nnaa aalsaalsh,
new testament, (n),أعمال الرسل,Acts,23maal aalrsl,
new testament, (n),عين نون,Aenon,3ayne nown,
new testament, (n),إسكندر,Alexander,2eskandar,
new testament, (n),عاموص,Amos,3aaamowS,
new testament, (n),حنّة,Anna,7annah,
new testament, (n),أنطاكيّ,Antioch,2anTaaakeyy,
new testament, (n),عازور,Azor,3aaazowr,
new testament, (n),قانا,Cana,2aaanaaa,
new testament, (n),كنداكة,Candace,kandaaakah,
new testament, (n),كبّدوكيّة,Cappadocia,kabbadowkeyyah,
new testament, (n),كاربس,Carpus,kaaarbos,
new testament, (n),كلود,Cauda,kalawde,
new testament, (n),صفا,Cephas,Safaaa,
new testament, (n),خيوس,Chios,kheyows,
new testament, (n),خلو,Chloe,kholowe,
new testament, (n),كورزين,Chorazin,kowrazeyn,
new testament, (n),خوز,Chuza,khowze,
new testament, (n),كيليكيّا,Cilicia,keyleykeyyaaa,
new testament, (n),كيليكيّة,Cilicia,keyleykeyyah,
new testament, (n),كلافديّة,Claudia,kalaaafedeyyah,
new testament, (n),كلوديوس,Claudius,kolowdeyows,
new testament, (n),كليوباس,Cleopas,kelyowbaaas,
new testament, (n),كلوبا,Clopas,kelowbaaa,
new testament, (n),كنيدس,Cnidus,keneydos,
new testament, (n),كوس,Cos,kows,
new testament, (n),قصم,Cosam,2oSam,
new testament, (n),كريسكيس,Crescens,kereyskeys,
new testament, (n),كريسبس,Crispus,kereysbos,
new testament, (n),قيروان,Cyrene,2ayrawaaan,
new testament, (n),كيريّة,Cyria,keyreyyah,
new testament, (n),دلمانوثة,Dalmanutha,dalmaaanowsah,
new testament, (n),دلماطيّة,Dalmatia,dalmaaaTeyyah,
new testament, (n),دامرس,Damaris,daaamares,
new testament, (n),ديماس,Demas,deymaaas,
new testament, (n),ديمتريوس,Demetrius,deymetreyows,
new testament, (n),دربة,Derbe,darbah,
new testament, (n),ديونيسيوس,Dionysius,deyowneyseyows,
new testament, (n),ديوتريفس,Diotrephes,deyowtreyfes,
new testament, (n),غزالة,Dorcas,ghazaaalah,
new testament, (n),دروسّلا,Drusilla,dorowseelaaa,
new testament, (n),عليم,Elymas,3aleym,
new testament, (n),عمواس,Emmaus,3emwaaas,
new testament, (n),أفسس,Ephesians,2fss,
new testament, (n),عير,Er,3eyr,
new testament, (n),حسل,Esli,7asle,
new testament, (n),فرتوناتوس,Fortunatus,fortownaaatows,
new testament, (n),غايس,Gaius,ghaaayos,
new testament, (n),غايوس,Gaius,ghaaayows,
new testament, (n),غلاطيّة,Galatia,ghalaaaTeyyah,
new testament, (n),غلاطية,Galatians,ghlaaTyeh,
new testament, (n),جليل,Galilee,jaleyl,
new testament, (n),غاليون,Gallio,ghaaaleyown,
new testament, (n),غمالائيل,Gamaliel,ghamaaalaaa2eyl,
new testament, (n),غزّة,Gazah,ghazzah,
new testament, (n),بشارة,gospel,beshaaarah,
new testament, (n),شارة,gospel,shaaarah,
new testament, (n),جوليا,Julia,jowleyaaa,
new testament, (n),لسائية,Lasea,lasaaa2eyah,
new testament, (n),لبّاوس,Lebbaeus,labbaaawos,
new testament, (n),ليبيّة,Libya,leybeyyah,
new testament, (n),لينس,Linus,leynos,
new testament, (n),لوئيس,Lois,law2eys,
new testament, (n),لوكيوس,Lucius,lowkeyows,
new testament, (n),ليكأونيّة,Lycaonia,leyka2owneyyah,
new testament, (n),ليكيّة,Lycia,leykeyyah,
new testament, (n),لدّة,Lydda,loddah,
new testament, (n),ليديّة,Lydia,leydeyyah,
new testament, (n),ليسانيوس,Lysanias,leysaaaneyows,
new testament, (n),ليسياس,Lysias,leyseyaaas,
new testament, (n),مآث,Maath,maaas,
new testament, (n),مرثا,Martha,marsaaa,
new testament, (n),متّاثيا,Mattathias,mattaaaseyaaa,
new testament, (n),متثات,Matthat,matsaaat,
new testament, (n),متّياس,Matthias,matteyaaas,
new testament, (n),نثنائيل,Nathanael,nasanaaa2eyl,
new testament, (n),بافوس,Paphos,baaafows,
new testament, (n),فينكس,Phenice,feyneks,
new testament, (n),فيلادلفيا,Philadelphia,feylaaadalfeyaaa,
new testament, (n),فيليتس,Philetus,feyleytos,
new testament, (n),فيلبّي,Philippi,feylebbey,
new testament, (n),فيلولوغس,Philologus,feylowlowghos,
new testament, (n),فليغون,Phlegon,feleyghown,
new testament, (n),فيبي,Phoebe,feybey,
new testament, (n),فينيقية,Phoenicia,feyney2eyah,
new testament, (n),فريجيّة,Phrygia,fareyjeyyah,
new testament, (n),فيجلّس,Phygelus,feyjallos,
new testament, (n),فرسكا,Prisca,fereskaaa,
new testament, (n),بريسكلّا,Priscilla,bereyskellaaa,
new testament, (n),كوارتس,Quartus,kawaaartos,
new testament, (n),كيرينيوس,Quirinius,keyreyneyows,
new testament, (n),رمفان,Rephan,ramfaaan,
new testament, (n),ريغيون,Rhegium,reygheyown,
new testament, (n),ريسا,Rhesa,reysaaa,
new testament, (n),رودا,Rhoda,rawdaaa,
new testament, (n),رودس,Rhodes,rowdos,
new testament, (n),روفس,Rufus,rowfos,
new testament, (n),سلاميس,Salamis,salaaameys,
new testament, (n),ساليم,Salim,saaaleym,
new testament, (n),سالومة,Salome,saaalowmah,
new testament, (n),ساموس,Samos,saaamows,
new testament, (n),ساموثراك,Samothrace,saaamowsraaake,
new testament, (n),سفّيرة,Sapphira,saffeyrah,
new testament, (n),سكاوا,Sceva,sakaaawaaa,
new testament, (n),بحر طبريّة,Sea of Tiberias,b7r Tbryyh,
new testament, (n),سكوندس,Secundus,sakowndos,
new testament, (n),سلوكية,Seleucia,salowkeyah,
new testament, (n),سرجيوس,Sergius,sarjeyows,
new testament, (n),سارون,Sharon,saaarown,
new testament, (n),سيلا,Silas,seylaaa,
new testament, (n),سلوانس,Silas,selwaaanos,
new testament, (n),سيمون,Simon,seymown,
new testament, (n),سميرنا,Smyrna,semeyrnaaa,
new testament, (n),سوباترس,Sopater,sowbaaataros,
new testament, (n),سوسيباترس,Sosipater,sowseybaaatros,
new testament, (n),سوستانيس,Sosthenes,sowstaaaneys,
new testament, (n),استفانوس,Stephanas,aastefaaanows,
new testament, (n),سوسنّة,Susanna,sowsannah,
new testament, (n),سوخار,Sychar,sowkhaaar,
new testament, (n),سنتيخ,Syntyche,senteykhe,
new testament, (n),طابيثا,Tabitha,Taaabeysaaa,
new testament, (n),طليثا,Talitha,Taleysaaa,
new testament, (n),طرسوس,Tarsus,Tarsows,
new testament, (n),تسالونيك,Thessalonica,tasaaalowneyke,
new testament, (n),طيباريوس,Tiberius,Teybaaareyows,
new testament, (n),تيطس,Titus,tyTos,
new testament, (n),زكّا,Zacchaeus,zakkaaa,
new testament, (n),زكريّا,Zechariah,zakareyyaaa,
new testament, (n),زيناس,Zenas,zeynaaas,
new testament, (n),زفس,Zeus,zafs,
new testament, (ph),حقل دما,Akeldama,7a2al damaaa,
new testament, (ph),فورن,Appii Forum,fowron,
finances, (n),خارجيّة,allowance [pocket money],khaarjyyh,
finances, (n),تدقيق,audit,td2y2,
finances, (n),بنك,bank,banque,
finances, (n),إفلاس,bankruptcy,2flaas,
finances, (v),تديّن,borrow [money],tdyyn,
finances, (n),صندوق,box,Sandw2,
finances, (n),البنك المركزي,central bank,aalbnk aalmrkzy,
finances, (n),تكلفة,cost,taklefh,
finances, (n),درهم,drachma,derham,
finances, (adv),مادياً,financially,maadyaaan,
finances, (n),تمويل,financing,tamwyl,
finances, (n),إعفاء,forgiveness of a tax,23faa2,
finances, (n),جامع التبرعات,fund-raiser,jaam3 aaltbr3aat,
finances, (n),التضخم,inflation,aaltDkhom,
finances, (n),إستيعاب,intake,2sty3aab,
finances, (n),إستثمار,investment,2stsmaar,
finances, (n),اليناصيب,lottery,aalynaaSyb,
finances, (n),حوالة,money/sum transferred,7waaleh,
finances, (n),صرّاف,moneychanger,Srraaf,
finances, (n),فلس,penny,fals,
finances, (n),إجّة,piggy bank,2jjh,
finances, (n),أجار,rent,2jaar,
finances, (v),أجّر,rent out,2ajaar,
finances, (v),أمّن,secure,2amaan,
finances, (n),بورصة,stock market,bwrSah,
finances, (n),إشتراك,subscription,2shteraak,
finances, (v),أيّد,support,2yaad,
finances, (adj),داعم,supportive,daa3em,
finances, (n),خزينة,treasury,khazyneh,
finances, (n),كرت فيزا,Visa card,krt fyzaa,
finances, (v),نسحب,withdraw,nsa7ab,
finances, (n),إنسحاب,withdrawal,2ense7aaab,
finances, (ph),بالتقّسيط,in installments,beaalto22syT,
finances, (ph),جمّع مصاري,save money,jmm3 mSaary,
life, (n),إجهاض,abortion,2jhaaD,
life, (v),خلق,be born,khele2,
life, (adv),بالميلاد,by birth,baalmylaad,
life, (n),إختبار,experience [in life],2ekhtebaar,
life, (n),جنين,fetus [US],janyn,
life, (adj),أوّل مرّة,first-time,2wwl mrrh,
life, (adj),خالد,immortal,khaaled,
life, (n),خلود,immortality,khlwd,
life, (adv),بحال,in case that,b7aal,
life, (n),أمر,issue,2mer,
life, (n),حيات,life,7ayaaat,
life, (adj),بدون حياة,lifeless,bdwn 7yaah,
life, (n),ميتة,manner of death,meytah,
life, (n),أمومة,maternity,2mwmh,
life, (n),إماتة,putting to death,2emaaatah,
life, (v),تقمّص,reincarnate,t2amaaS,
life, (n),تقمّص,reincarnation,ta2amooS,
life, (adj),مخنوق,strangled,makhnow2,
life, (n),حب البقاء,survival,7b aalb2aa2,
life, (n),معيشة,sustenance,ma3eyshah,
life, (ph),بعمر المراهقة,adolescence,b3omr aalmoraaha2eh,
life, (ph),بجّ راسه,become stressed,bjj raash,
life, (ph),يعيّش ل,God cause him/her to live,y3ayysh l,
life, (ph),إجاني رسالة,I got a message,2jaany resaaleh,
life, (ph),بعمره ما,"in his life, he did not . . .",be3omrh  maa,
life, (ph),عدم فساد,incorruptibility,3adama fasaaad,
life, (ph),آخر فترة,lately,aakhr ftrah,
life, (ph),إتكالي,my reliance,2tkaaly,
life, (ph),أخد نفس,take a breath,2akhad nafas,
war, (v),تربّص,ambush,trbbS,
war, (n),ذخيرة,ammunition,zkhyrah,
war, (n),جيش,army,jaysh,
war, (n),ميدان,battlefield,maydaaan,
war, (adj),أهلي,civil,2hly,
war, (n),جثمان,corpse,jsmaan,
war, (v),غلب,defeat,ghalab,
war, (n),تطهير عرقي,ethnic cleansing,taThyr 3er2y,
war, (v),حارب,fight,7aarb,
war, (v),تنازل,forfeit,tnaazal,
war, (v),غلب,give up,gheleb,
war, (v),جتاح,invade,jtaa7,
war, (n),إجتياح,invasion,2jtyaa7,
war, (v),حاصر,lay siege,7aaSar,
war, (v),حتلّ,occupy [land],7tall,
war, (n),جيوش حفظ السّلام,peace keeping forces,joyowsh 7efZ aalsaalaam,
war, (n),كمين,plot by someone lying in wait,kameyn,
war, (n),بلوتونيوم,plutonium,plutonium,
war, (v),جنّد,recruit,janaad,
war, (v),تراجع,retreat,traaja3,
war, (n),تخريب,sabotage,tkhryb,
war, (n),ترس,shield,ters,
war, (n),جنديٍ,soldier,jondeyen,
war, (n),عسكريّ,soldier,3askareyy,
war, (adj),إستراتيجي,strategic,2straatyjy,
war, (v),تعذّب,suffer,t3azaab,
war, (n),تسليم,surrender,taslym,
war, (n),تكتيك,tactic,tactique,
war, (n),تعذيب,torture,ta3zyb,
war, (v),نتصر,triumph,ntaSar,
war, (adj),جريح,wounded,jary7,
war, (ph),خاص بفترة بعد الحرب,postwar,khaaS bftrah b3d aal7rb,
power, (n),قدرة,ability,2odrah,
power, (if),قادر,able,2aader,
power, (adj),مقتدر,able,mo2tader,
power, (if),جازم,assertive,jaazm,
power, (n),تجاذب,attraction,tjaazob,
power, (v),تحكّم,be treated [medically],t7akaam,
power, (n),جرأة,boldness,jor2h,
power, (v),تنمّر,bully,tnamaar,
power, (adv),بالقوّة,by force,baal2owwh,
power, (n),حاكم مدينة,city authority,7aakm mdyneh,
power, (n),تسلّط,control,tsllT,
power, (n),تحكّم,controlling,t7akoom,
power, (n),انقلاب,coup d'état,aaen2elaaab,
power, (v),جرّ,drag,jrr,
power, (n),تطويق,enforcement,tTwy2,
power, (n),محرّك,engine,m7rrk,
power, (v),جبر,force,jabar,
power, (v),خوّر,grow weak,khawaar,
power, (adj),جغل,macho,jaghal,
power, (n),تمكين,strengthening,tmkyn,
power, (n),تقوية,strengthening,t2wyeh,
power, (v),بيقوّي,strengthening,by2awwy,
power, (adj),قويّ,strong,2aweyy,
power, (adv),بقوّة,strongly,b2wwh,
power, (v),خضع,submit,khaDa3,
power, (n),سلطنة,sultanate,salTanah,
power, (n),تهديد,threat,thdyd,
power, (v),بيتعّب,tiring,byta3eeb,
power, (ph),غصمن عنه,he did it by accident,ghaSmen 3anoh,
power, (ph),بده يستقوي عليها,he intimidates her,bdh yst2wy 3lyhaa,
power, (ph),إيده طايلة,he is powerful,2ydoh Taayleh,
